entrez_id,symbol,Annotated_drug_processing,Disease_gene_Menche,Disease_gene_New,Drug_target,neighbors,nb_disease_genes_2015,nb_disease_gene_New,nb_drug_target,Palliative_target,zscore,Transcription_factor
8490,RGS5,No,No,No,No,9,2,5,3,No,0.600791688,No
3902,LAG3,No,No,No,No,2,0,1,0,No,-0.732073624,No
161725,OTUD7A,No,No,No,No,2,0,1,0,No,-0.732073624,No
5681,PSKH1,No,No,No,No,9,4,5,4,No,1.244603027,No
142683,ITLN2,No,No,No,No,3,1,1,0,No,-0.810083342,No
10630,PDPN,No,No,No,No,4,0,0,0,No,-0.934308929,No
5456,POU3F4,No,Yes,Yes,No,3,0,1,0,No,-0.810083342,Yes
4324,MMP15,No,No,No,Yes,3,2,2,2,No,1.729637405,No
64342,HS1BP3,No,No,No,No,9,2,5,2,No,-0.043019652,No
2734,GLG1,No,No,No,No,10,2,3,2,No,-0.048479306,No
55908,ANGPTL8,No,No,No,No,2,1,2,0,No,-0.732073624,No
9674,KIAA0040,No,No,Yes,No,6,1,0,0,No,-1.127939856,Yes
79823,CAMKMT,No,No,No,No,11,4,4,4,No,0.802323407,No
3538,IGLC2,No,No,No,No,4,0,1,1,No,0.132057799,No
222663,SCUBE3,No,No,No,No,3,3,2,3,No,2.999497778,No
79774,GRTP1,No,No,No,No,5,0,0,2,No,0.9373956,No
885,CCK,No,No,No,No,4,1,2,3,No,2.264791256,No
64747,MFSD1,No,No,No,No,5,1,1,0,No,-1.008786655,No
158078,EEF1A1P5,No,No,No,No,1,0,0,0,No,-0.520170265,No
152007,GLIPR2,No,No,No,Yes,5,1,1,0,No,-1.008786655,No
23551,RASD2,No,No,No,No,9,5,7,3,No,0.600791688,No
406982,MIR20A,No,No,No,No,2,0,1,0,No,-0.732073624,No
120863,DEPDC4,No,No,No,No,1,0,0,0,No,-0.520170265,Yes
55502,HES6,No,No,No,No,12,4,5,3,No,0.433497288,Yes
64493,LINC00235,No,No,No,No,1,1,1,0,No,-0.520170265,No
138162,C9orf116,No,No,No,No,4,1,3,1,No,0.132057799,No
116843,SLC18B1,No,No,No,No,1,0,0,0,No,-0.520170265,No
4051,CYP4F3,No,No,No,No,2,0,2,1,No,0.881815956,No
84935,MEDAG,No,No,No,No,4,0,1,0,No,-0.934308929,No
2555,GABRA2,No,No,Yes,Yes,2,0,1,1,Yes,0.881815956,No
84267,C9orf64,No,No,No,No,4,0,0,0,No,-0.934308929,No
101060321,TBC1D3G,No,No,No,No,8,1,2,1,No,-0.572811457,No
100463488,MTRNR2L10,No,No,No,No,1,0,1,0,No,-0.520170265,No
417,ART1,No,No,No,Yes,1,0,0,0,No,-0.520170265,No
8671,SLC4A4,No,Yes,Yes,Yes,7,3,4,4,No,1.932710006,No
83699,SH3BGRL2,No,No,Yes,No,3,0,1,1,No,0.459777032,No
1581,CYP7A1,No,No,No,No,4,3,4,1,No,0.132057799,No
123876,ACSM2A,No,No,No,No,0,0,0,0,No,-0.934308929,No
57583,TMEM181,No,No,No,No,4,2,2,2,No,1.198424527,No
84657,LINC00852,No,No,No,No,1,0,1,0,No,-0.520170265,No
116159,CYYR1,No,Yes,No,No,2,1,2,0,No,-0.732073624,No
222826,FAM217A,No,No,No,No,2,0,2,0,No,-0.732073624,No
542767,PCOTH,No,No,No,No,4,2,3,1,No,0.132057799,No
200315,APOBEC3A,No,Yes,No,No,3,0,0,1,No,0.459777032,No
285600,KIAA0825,No,Yes,Yes,No,2,0,0,0,No,-0.732073624,No
404281,YY2,No,No,No,No,2,0,1,0,No,-0.732073624,Yes
64240,ABCG5,No,Yes,Yes,Yes,4,1,4,3,No,2.264791256,No
1580,CYP4B1,Yes,No,No,Yes,1,0,1,1,No,1.922447449,No
1056,CEL,No,Yes,Yes,Yes,1,0,1,0,No,-0.520170265,No
80034,CSRNP3,No,No,No,No,1,0,0,1,No,1.922447449,Yes
114,ADCY8,No,No,Yes,No,3,0,2,3,No,2.999497778,No
79363,CPLANE2,No,No,No,No,6,1,1,3,No,1.332286528,No
165631,PARP15,No,No,No,Yes,2,1,1,0,No,-0.732073624,Yes
55687,TRMU,No,No,Yes,No,7,2,1,1,No,-0.382081901,No
342933,ZSCAN5B,No,No,No,No,5,1,1,0,No,-1.008786655,Yes
126668,TDRD10,No,No,No,No,1,1,1,0,No,-0.520170265,No
54209,TREM2,Yes,Yes,Yes,No,3,2,1,0,No,-0.810083342,No
283551,LINC01588,No,No,No,No,5,0,1,1,No,-0.035695528,No
11247,NXPH4,No,No,No,No,1,0,0,0,No,-0.520170265,No
84640,USP38,No,Yes,No,No,5,0,1,1,No,-0.035695528,No
84677,DSCR8,No,No,No,No,2,1,0,0,No,-0.732073624,No
100507462,CCDC28A-AS1,No,No,No,No,5,0,1,0,No,-1.008786655,No
94137,RP1L1,No,No,No,No,5,0,3,3,No,1.910486727,No
84694,GJA10,No,No,No,No,2,2,2,1,No,0.881815956,No
168507,PKD1L1,No,Yes,Yes,No,2,0,0,1,No,0.881815956,No
138307,LCN8,No,No,No,No,2,1,2,1,No,0.881815956,No
101340251,SNORD124,No,No,No,No,2,0,2,1,No,0.881815956,No
80119,PIF1,No,No,No,No,3,0,0,0,No,-0.810083342,No
100129654,TCF24,No,No,No,No,2,0,1,0,No,-0.732073624,Yes
340665,CYP26C1,No,No,No,Yes,1,1,1,0,Yes,-0.520170265,No
170691,ADAMTS17,No,No,Yes,No,2,0,2,0,No,-0.732073624,Yes
10233,LRRC23,No,No,No,No,4,1,3,1,No,0.132057799,No
84976,DISP1,No,No,Yes,No,5,2,3,1,No,-0.035695528,No
26773,SNORD4A,No,No,No,No,2,2,2,0,No,-0.732073624,No
1140,CHRNB1,No,Yes,Yes,Yes,2,0,0,0,No,-0.732073624,No
26692,OR2W1,No,No,No,No,2,1,1,1,No,0.881815956,No
252995,FNDC5,No,No,No,No,10,0,4,2,No,-0.048479306,No
2206,MS4A2,No,No,No,Yes,10,2,4,4,Yes,1.134986116,No
79071,ELOVL6,No,No,No,No,4,1,1,1,No,0.132057799,No
57103,TIGAR,No,No,No,No,6,3,3,1,No,-0.307864395,No
390616,ANKRD34C,No,Yes,No,No,1,1,1,0,No,-0.520170265,No
145741,C2CD4A,No,Yes,No,No,1,0,1,0,No,-0.520170265,No
151556,GPR155,No,No,No,No,1,0,0,0,No,-0.520170265,Yes
57494,RIMKLB,No,No,Yes,No,1,1,1,0,No,-0.520170265,No
90737,PAGE5,No,No,No,No,2,0,1,0,No,-0.732073624,No
2128,EVX1,No,No,No,No,4,1,3,1,No,0.132057799,Yes
100170841,EPOP,No,No,No,No,5,1,3,1,No,-0.035695528,No
83604,TMEM47,No,No,No,No,4,0,0,0,No,-0.934308929,No
